site;year;transect;slide;taxa;count
Yawzi;1991;1;5;Briareum;0
Yawzi;1991;1;6;Briareum;0
Yawzi;1991;1;7;Briareum;0
Yawzi;1991;1;8;Briareum;0
Yawzi;1991;1;9;Briareum;0
Yawzi;1991;1;10;Briareum;0
Yawzi;1991;3;21;Briareum;0
Yawzi;1991;3;22;Briareum;0
Yawzi;1991;3;23;Briareum;0
Yawzi;1991;3;24;Briareum;0
Yawzi;1991;3;25;Briareum;0
Yawzi;1991;3;26;Briareum;0
Yawzi;1991;3;27;Briareum;0
Yawzi;1991;3;28;Briareum;0
Yawzi;1991;3;29;Briareum;0
Yawzi;1991;3;30;Briareum;0
Yawzi;1992;1;1;Briareum;0
Yawzi;1992;1;2;Briareum;0
Yawzi;1992;1;3;Briareum;0
Yawzi;1992;1;4;Briareum;0
Yawzi;1992;1;5;Briareum;0
Yawzi;1992;1;6;Briareum;0
Yawzi;1992;1;7;Briareum;0
Yawzi;1992;1;8;Briareum;0
Yawzi;1992;1;9;Briareum;0
Yawzi;1992;1;10;Briareum;0
Yawzi;1992;3;20;Briareum;0
Yawzi;1992;3;21;Briareum;0
Yawzi;1992;3;22;Briareum;0
Yawzi;1992;3;23;Briareum;0
Yawzi;1992;3;24;Briareum;0
Yawzi;1992;3;25;Briareum;0
Yawzi;1992;3;26;Briareum;0
Yawzi;1992;3;27;Briareum;0
Yawzi;1992;3;28;Briareum;0
Yawzi;1992;3;29;Briareum;0
Yawzi;1993;1;1;Briareum;0
Yawzi;1993;1;2;Briareum;0
Yawzi;1993;1;3;Briareum;1
Yawzi;1993;1;4;Briareum;0
Yawzi;1993;1;5;Briareum;0
Yawzi;1993;1;6;Briareum;0
Yawzi;1993;1;7;Briareum;0
Yawzi;1993;1;8;Briareum;0
Yawzi;1993;1;9;Briareum;0
Yawzi;1993;1;10;Briareum;0
Yawzi;1993;3;21;Briareum;0
Yawzi;1993;3;22;Briareum;0
Yawzi;1993;3;23;Briareum;0
Yawzi;1993;3;24;Briareum;0
Yawzi;1993;3;25;Briareum;0
Yawzi;1993;3;26;Briareum;0
Yawzi;1993;3;27;Briareum;0
Yawzi;1993;3;28;Briareum;0
Yawzi;1993;3;29;Briareum;0
Yawzi;1993;3;30;Briareum;0
Yawzi;1994;1;1;Briareum;0
Yawzi;1994;1;2;Briareum;0
Yawzi;1994;1;3;Briareum;0
Yawzi;1994;1;4;Briareum;0
Yawzi;1994;1;5;Briareum;0
Yawzi;1994;1;6;Briareum;0
Yawzi;1994;1;7;Briareum;0
Yawzi;1994;1;8;Briareum;0
Yawzi;1994;1;9;Briareum;0
Yawzi;1994;1;10;Briareum;0
Yawzi;1994;3;21;Briareum;0
Yawzi;1994;3;22;Briareum;0
Yawzi;1994;3;23;Briareum;0
Yawzi;1994;3;24;Briareum;0
Yawzi;1994;3;25;Briareum;0
Yawzi;1994;3;26;Briareum;0
Yawzi;1994;3;27;Briareum;0
Yawzi;1994;3;28;Briareum;0
Yawzi;1994;3;29;Briareum;0
Yawzi;1994;3;30;Briareum;1
Yawzi;1995;1;1;Briareum;0
Yawzi;1995;1;2;Briareum;0
Yawzi;1995;1;3;Briareum;0
Yawzi;1995;1;4;Briareum;0
Yawzi;1995;1;5;Briareum;0
Yawzi;1995;1;6;Briareum;0
Yawzi;1995;1;7;Briareum;0
Yawzi;1995;1;8;Briareum;0
Yawzi;1995;1;9;Briareum;0
Yawzi;1995;1;10;Briareum;0
Yawzi;1995;3;21;Briareum;0
Yawzi;1995;3;22;Briareum;0
Yawzi;1995;3;23;Briareum;0
Yawzi;1995;3;24;Briareum;0
Yawzi;1995;3;25;Briareum;0
Yawzi;1995;3;26;Briareum;0
Yawzi;1995;3;27;Briareum;0
Yawzi;1995;3;28;Briareum;0
Yawzi;1995;3;29;Briareum;0
Yawzi;1995;3;30;Briareum;1
Yawzi;1996;1;1;Briareum;0
Yawzi;1996;1;2;Briareum;0
Yawzi;1996;1;3;Briareum;0
Yawzi;1996;1;4;Briareum;0
Yawzi;1996;1;5;Briareum;0
Yawzi;1996;1;6;Briareum;0
Yawzi;1996;1;7;Briareum;0
Yawzi;1996;1;8;Briareum;0
Yawzi;1996;1;9;Briareum;0
Yawzi;1996;1;10;Briareum;0
Yawzi;1996;3;21;Briareum;0
Yawzi;1996;3;22;Briareum;0
Yawzi;1996;3;23;Briareum;0
Yawzi;1996;3;24;Briareum;0
Yawzi;1996;3;25;Briareum;0
Yawzi;1996;3;26;Briareum;0
Yawzi;1996;3;27;Briareum;0
Yawzi;1996;3;28;Briareum;0
Yawzi;1996;3;29;Briareum;0
Yawzi;1996;3;30;Briareum;0
Yawzi;1997;1;1;Briareum;0
Yawzi;1997;1;2;Briareum;0
Yawzi;1997;1;3;Briareum;0
Yawzi;1997;1;4;Briareum;0
Yawzi;1997;1;5;Briareum;0
Yawzi;1997;1;6;Briareum;0
Yawzi;1997;1;7;Briareum;0
Yawzi;1997;1;8;Briareum;0
Yawzi;1997;1;9;Briareum;0
Yawzi;1997;1;10;Briareum;0
Yawzi;1997;3;21;Briareum;0
Yawzi;1997;3;22;Briareum;0
Yawzi;1997;3;23;Briareum;0
Yawzi;1997;3;24;Briareum;0
Yawzi;1997;3;25;Briareum;0
Yawzi;1997;3;26;Briareum;0
Yawzi;1997;3;27;Briareum;0
Yawzi;1997;3;28;Briareum;0
Yawzi;1997;3;29;Briareum;0
Yawzi;1997;3;30;Briareum;0
Yawzi;1998;1;1;Briareum;0
Yawzi;1998;1;2;Briareum;0
Yawzi;1998;1;3;Briareum;0
Yawzi;1998;1;4;Briareum;0
Yawzi;1998;1;5;Briareum;0
Yawzi;1998;1;6;Briareum;0
Yawzi;1998;1;7;Briareum;0
Yawzi;1998;1;8;Briareum;0
Yawzi;1998;1;9;Briareum;0
Yawzi;1998;1;10;Briareum;0
Yawzi;1998;3;21;Briareum;0
Yawzi;1998;3;22;Briareum;0
Yawzi;1998;3;23;Briareum;0
Yawzi;1998;3;24;Briareum;0
Yawzi;1998;3;25;Briareum;0
Yawzi;1998;3;26;Briareum;0
Yawzi;1998;3;27;Briareum;1
Yawzi;1998;3;28;Briareum;0
Yawzi;1998;3;29;Briareum;0
Yawzi;1998;3;30;Briareum;0
Yawzi;1999;1;1;Briareum;0
Yawzi;1999;1;2;Briareum;0
Yawzi;1999;1;3;Briareum;0
Yawzi;1999;1;4;Briareum;0
Yawzi;1999;1;5;Briareum;0
Yawzi;1999;1;6;Briareum;0
Yawzi;1999;1;7;Briareum;0
Yawzi;1999;1;8;Briareum;0
Yawzi;1999;1;9;Briareum;0
Yawzi;1999;1;10;Briareum;0
Yawzi;1999;3;21;Briareum;0
Yawzi;1999;3;22;Briareum;0
Yawzi;1999;3;23;Briareum;0
Yawzi;1999;3;24;Briareum;0
Yawzi;1999;3;25;Briareum;0
Yawzi;1999;3;26;Briareum;0
Yawzi;1999;3;27;Briareum;0
Yawzi;1999;3;28;Briareum;0
Yawzi;1999;3;29;Briareum;0
Yawzi;1999;3;30;Briareum;0
Yawzi;2000;1;1;Briareum;0
Yawzi;2000;1;2;Briareum;0
Yawzi;2000;1;3;Briareum;0
Yawzi;2000;1;4;Briareum;0
Yawzi;2000;1;5;Briareum;0
Yawzi;2000;1;6;Briareum;0
Yawzi;2000;1;7;Briareum;0
Yawzi;2000;1;8;Briareum;0
Yawzi;2000;1;9;Briareum;0
Yawzi;2000;1;10;Briareum;0
Yawzi;2000;3;21;Briareum;0
Yawzi;2000;3;22;Briareum;0
Yawzi;2000;3;23;Briareum;0
Yawzi;2000;3;24;Briareum;0
Yawzi;2000;3;25;Briareum;0
Yawzi;2000;3;26;Briareum;0
Yawzi;2000;3;27;Briareum;0
Yawzi;2000;3;28;Briareum;0
Yawzi;2000;3;29;Briareum;0
Yawzi;2000;3;30;Briareum;0
Yawzi;2001;1;Q1;Briareum;0
Yawzi;2001;1;Q2;Briareum;0
Yawzi;2001;1;Q3;Briareum;0
Yawzi;2001;1;Q4;Briareum;0
Yawzi;2001;1;Q5;Briareum;1
Yawzi;2001;1;Q6;Briareum;0
Yawzi;2001;1;Q7;Briareum;0
Yawzi;2001;1;Q8;Briareum;0
Yawzi;2001;1;Q9;Briareum;0
Yawzi;2001;1;Q10;Briareum;0
Yawzi;2001;3;Q1;Briareum;0
Yawzi;2001;3;Q2;Briareum;0
Yawzi;2001;3;Q3;Briareum;0
Yawzi;2001;3;Q4;Briareum;0
Yawzi;2001;3;Q5;Briareum;0
Yawzi;2001;3;Q6;Briareum;0
Yawzi;2001;3;Q7;Briareum;0
Yawzi;2001;3;Q8;Briareum;0
Yawzi;2001;3;Q9;Briareum;0
Yawzi;2001;3;Q10;Briareum;0
Yawzi;2002;1;Q1;Briareum;0
Yawzi;2002;1;Q2;Briareum;1
Yawzi;2002;1;Q3;Briareum;1
Yawzi;2002;1;Q4;Briareum;0
Yawzi;2002;1;Q5;Briareum;0
Yawzi;2002;1;Q6;Briareum;0
Yawzi;2002;1;Q7;Briareum;0
Yawzi;2002;1;Q8;Briareum;0
Yawzi;2002;1;Q9;Briareum;0
Yawzi;2002;1;Q10;Briareum;0
Yawzi;2002;3;Q1;Briareum;0
Yawzi;2002;3;Q2;Briareum;0
Yawzi;2002;3;Q3;Briareum;0
Yawzi;2002;3;Q4;Briareum;0
Yawzi;2002;3;Q5;Briareum;0
Yawzi;2002;3;Q6;Briareum;0
Yawzi;2002;3;Q7;Briareum;0
Yawzi;2002;3;Q8;Briareum;0
Yawzi;2002;3;Q9;Briareum;0
Yawzi;2002;3;Q10;Briareum;0
Yawzi;2002;3;Q11;Briareum;0
Yawzi;2002;3;Q12;Briareum;0
Yawzi;2003;1;2256;Briareum;0
Yawzi;2003;1;2257;Briareum;0
Yawzi;2003;1;2258;Briareum;0
Yawzi;2003;1;2259;Briareum;0
Yawzi;2003;1;2260;Briareum;0
Yawzi;2003;1;2261;Briareum;0
Yawzi;2003;1;2262;Briareum;0
Yawzi;2003;1;2263;Briareum;0
Yawzi;2003;1;2264;Briareum;0
Yawzi;2003;1;2265;Briareum;0
Yawzi;2003;3;2278;Briareum;0
Yawzi;2003;3;2279;Briareum;0
Yawzi;2003;3;2280;Briareum;0
Yawzi;2003;3;2281;Briareum;0
Yawzi;2003;3;2282;Briareum;0
Yawzi;2003;3;2283;Briareum;0
Yawzi;2003;3;2284;Briareum;0
Yawzi;2003;3;2285;Briareum;0
Yawzi;2003;3;2286;Briareum;0
Yawzi;2003;3;2287;Briareum;0
Yawzi;2003;3;2288;Briareum;0
Yawzi;2003;3;2289;Briareum;0
Yawzi;2004;1;7055;Briareum;0
Yawzi;2004;1;7056;Briareum;0
Yawzi;2004;1;7057;Briareum;0
Yawzi;2004;1;7058;Briareum;0
Yawzi;2004;1;7059;Briareum;0
Yawzi;2004;1;7060;Briareum;0
Yawzi;2004;1;7061;Briareum;0
Yawzi;2004;1;7062;Briareum;0
Yawzi;2004;1;7063;Briareum;0
Yawzi;2004;1;7064;Briareum;0
Yawzi;2004;3;7115;Briareum;0
Yawzi;2004;3;7116;Briareum;0
Yawzi;2004;3;7117;Briareum;0
Yawzi;2004;3;7118;Briareum;0
Yawzi;2004;3;7119;Briareum;0
Yawzi;2004;3;7120;Briareum;0
Yawzi;2004;3;7121;Briareum;0
Yawzi;2004;3;7122;Briareum;0
Yawzi;2004;3;7123;Briareum;0
Yawzi;2004;3;7124;Briareum;0
Yawzi;2004;3;7125;Briareum;0
Yawzi;2005;1;14;Briareum;0
Yawzi;2005;1;15;Briareum;0
Yawzi;2005;1;16;Briareum;0
Yawzi;2005;1;17;Briareum;0
Yawzi;2005;1;18;Briareum;0
Yawzi;2005;1;19;Briareum;0
Yawzi;2005;1;21;Briareum;0
Yawzi;2005;1;23;Briareum;0
Yawzi;2005;1;24;Briareum;0
Yawzi;2005;1;25;Briareum;0
Yawzi;2005;1;26;Briareum;0
Yawzi;2005;3;1;Briareum;0
Yawzi;2005;3;2;Briareum;0
Yawzi;2005;3;3;Briareum;0
Yawzi;2005;3;4;Briareum;0
Yawzi;2005;3;5;Briareum;0
Yawzi;2005;3;6;Briareum;0
Yawzi;2005;3;7;Briareum;0
Yawzi;2005;3;8;Briareum;0
Yawzi;2005;3;9;Briareum;0
Yawzi;2005;3;10;Briareum;0
Yawzi;2005;3;11;Briareum;0
Yawzi;2005;3;12;Briareum;0
Yawzi;2006;1;309;Briareum;0
Yawzi;2006;1;310;Briareum;0
Yawzi;2006;1;311;Briareum;0
Yawzi;2006;1;313;Briareum;0
Yawzi;2006;1;314;Briareum;0
Yawzi;2006;1;315;Briareum;0
Yawzi;2006;1;316;Briareum;0
Yawzi;2006;1;317;Briareum;0
Yawzi;2006;1;318;Briareum;0
Yawzi;2006;1;319;Briareum;0
Yawzi;2006;1;320;Briareum;0
Yawzi;2006;3;333;Briareum;0
Yawzi;2006;3;334;Briareum;0
Yawzi;2006;3;335;Briareum;0
Yawzi;2006;3;336;Briareum;0
Yawzi;2006;3;337;Briareum;0
Yawzi;2006;3;338;Briareum;0
Yawzi;2006;3;339;Briareum;0
Yawzi;2006;3;340;Briareum;0
Yawzi;2006;3;342;Briareum;0
Yawzi;2006;3;343;Briareum;0
Yawzi;2006;3;344;Briareum;0
Yawzi;2006;3;345;Briareum;0
Yawzi;2007;1;1006;Briareum;0
Yawzi;2007;1;1007;Briareum;0
Yawzi;2007;1;1008;Briareum;0
Yawzi;2007;1;1009;Briareum;0
Yawzi;2007;1;1010;Briareum;0
Yawzi;2007;1;1011;Briareum;0
Yawzi;2007;1;1012;Briareum;0
Yawzi;2007;1;1013;Briareum;0
Yawzi;2007;1;1014;Briareum;0
Yawzi;2007;1;1015;Briareum;0
Yawzi;2007;1;1016;Briareum;0
Yawzi;2007;3;1028;Briareum;0
Yawzi;2007;3;1029;Briareum;0
Yawzi;2007;3;1030;Briareum;0
Yawzi;2007;3;1031;Briareum;0
Yawzi;2007;3;1032;Briareum;0
Yawzi;2007;3;1033;Briareum;0
Yawzi;2007;3;1034;Briareum;0
Yawzi;2007;3;1035;Briareum;0
Yawzi;2007;3;1036;Briareum;0
Yawzi;2007;3;1037;Briareum;0
Yawzi;2008;1;2374;Briareum;0
Yawzi;2008;1;2375;Briareum;0
Yawzi;2008;1;2376;Briareum;0
Yawzi;2008;1;2377;Briareum;0
Yawzi;2008;1;2378;Briareum;0
Yawzi;2008;1;2379;Briareum;0
Yawzi;2008;1;2380;Briareum;0
Yawzi;2008;1;2381;Briareum;0
Yawzi;2008;1;2382;Briareum;0
Yawzi;2008;1;2383;Briareum;0
Yawzi;2008;1;2384;Briareum;0
Yawzi;2008;3;2397;Briareum;0
Yawzi;2008;3;2398;Briareum;0
Yawzi;2008;3;2399;Briareum;0
Yawzi;2008;3;2400;Briareum;0
Yawzi;2008;3;2401;Briareum;0
Yawzi;2008;3;2402;Briareum;0
Yawzi;2008;3;2403;Briareum;0
Yawzi;2008;3;2404;Briareum;0
Yawzi;2008;3;2405;Briareum;0
Yawzi;2008;3;2406;Briareum;0
Yawzi;2008;3;2407;Briareum;0
Yawzi;2008;3;2408;Briareum;0
Yawzi;2009;1;1636;Briareum;1
Yawzi;2009;1;1637;Briareum;1
Yawzi;2009;1;1638;Briareum;0
Yawzi;2009;1;1640;Briareum;0
Yawzi;2009;1;1641;Briareum;0
Yawzi;2009;1;1642;Briareum;0
Yawzi;2009;1;1643;Briareum;0
Yawzi;2009;1;1644;Briareum;0
Yawzi;2009;1;1645;Briareum;0
Yawzi;2009;1;1646;Briareum;0
Yawzi;2009;3;1660;Briareum;0
Yawzi;2009;3;1661;Briareum;0
Yawzi;2009;3;1662;Briareum;0
Yawzi;2009;3;1663;Briareum;0
Yawzi;2009;3;1664;Briareum;0
Yawzi;2009;3;1665;Briareum;0
Yawzi;2009;3;1666;Briareum;0
Yawzi;2009;3;1667;Briareum;0
Yawzi;2009;3;1668;Briareum;0
Yawzi;2009;3;1669;Briareum;0
Yawzi;2009;3;1670;Briareum;0
Yawzi;2010;1;8443;Briareum;0
Yawzi;2010;1;8444;Briareum;1
Yawzi;2010;1;8445;Briareum;0
Yawzi;2010;1;8446;Briareum;0
Yawzi;2010;1;8447;Briareum;0
Yawzi;2010;1;8448;Briareum;0
Yawzi;2010;1;8449;Briareum;0
Yawzi;2010;1;8450;Briareum;0
Yawzi;2010;1;8451;Briareum;0
Yawzi;2010;1;8452;Briareum;0
Yawzi;2010;1;8453;Briareum;0
Yawzi;2010;3;8465;Briareum;0
Yawzi;2010;3;8466;Briareum;0
Yawzi;2010;3;8467;Briareum;0
Yawzi;2010;3;8468;Briareum;0
Yawzi;2010;3;8469;Briareum;0
Yawzi;2010;3;8470;Briareum;0
Yawzi;2010;3;8471;Briareum;0
Yawzi;2010;3;8472;Briareum;0
Yawzi;2010;3;8473;Briareum;0
Yawzi;2010;3;8474;Briareum;0
Yawzi;2010;3;8475;Briareum;0
Yawzi;2010;3;8476;Briareum;0
Yawzi;2011;1;1;Briareum;0
Yawzi;2011;1;2;Briareum;0
Yawzi;2011;1;3;Briareum;0
Yawzi;2011;1;4;Briareum;0
Yawzi;2011;1;5;Briareum;0
Yawzi;2011;1;6;Briareum;0
Yawzi;2011;1;7;Briareum;0
Yawzi;2011;1;8;Briareum;0
Yawzi;2011;1;9;Briareum;0
Yawzi;2011;1;10;Briareum;0
Yawzi;2011;1;11;Briareum;0
Yawzi;2011;3;24;Briareum;0
Yawzi;2011;3;25;Briareum;0
Yawzi;2011;3;26;Briareum;0
Yawzi;2011;3;27;Briareum;0
Yawzi;2011;3;28;Briareum;0
Yawzi;2011;3;29;Briareum;0
Yawzi;2011;3;30;Briareum;0
Yawzi;2011;3;31;Briareum;0
Yawzi;2011;3;32;Briareum;0
Yawzi;2011;3;33;Briareum;0
Yawzi;2011;3;34;Briareum;0
Yawzi;2012;1;1788;Briareum;0
Yawzi;2012;1;1789;Briareum;0
Yawzi;2012;1;1790;Briareum;0
Yawzi;2012;1;1791;Briareum;0
Yawzi;2012;1;1792;Briareum;0
Yawzi;2012;1;1793;Briareum;0
Yawzi;2012;1;1794;Briareum;0
Yawzi;2012;1;1795;Briareum;0
Yawzi;2012;1;1796;Briareum;0
Yawzi;2012;1;1797;Briareum;0
Yawzi;2012;1;1798;Briareum;0
Yawzi;2012;3;1813;Briareum;0
Yawzi;2012;3;1814;Briareum;0
Yawzi;2012;3;1815;Briareum;0
Yawzi;2012;3;1816;Briareum;0
Yawzi;2012;3;1817;Briareum;0
Yawzi;2012;3;1819;Briareum;0
Yawzi;2012;3;1820;Briareum;0
Yawzi;2012;3;1821;Briareum;0
Yawzi;2012;3;1822;Briareum;0
Yawzi;2012;3;1823;Briareum;0
Yawzi;2012;3;1824;Briareum;0
Yawzi;2012;3;1825;Briareum;0
Yawzi;2013;1;165;Briareum;0
Yawzi;2013;1;166;Briareum;0
Yawzi;2013;1;167;Briareum;0
Yawzi;2013;1;168;Briareum;0
Yawzi;2013;1;169;Briareum;1
Yawzi;2013;1;170;Briareum;0
Yawzi;2013;1;171;Briareum;0
Yawzi;2013;1;172;Briareum;0
Yawzi;2013;1;173;Briareum;0
Yawzi;2013;1;174;Briareum;0
Yawzi;2013;3;188;Briareum;0
Yawzi;2013;3;189;Briareum;0
Yawzi;2013;3;190;Briareum;0
Yawzi;2013;3;191;Briareum;0
Yawzi;2013;3;192;Briareum;0
Yawzi;2013;3;193;Briareum;0
Yawzi;2013;3;194;Briareum;0
Yawzi;2013;3;195;Briareum;0
Yawzi;2013;3;196;Briareum;0
Yawzi;2013;3;197;Briareum;0
Yawzi;2013;3;198;Briareum;0
Yawzi;2013;3;199;Briareum;0
Tektite;1987;1;2;Briareum;0
Tektite;1987;1;3;Briareum;0
Tektite;1987;1;4;Briareum;0
Tektite;1987;1;5;Briareum;0
Tektite;1987;1;6;Briareum;0
Tektite;1987;1;7;Briareum;0
Tektite;1987;1;8;Briareum;0
Tektite;1987;1;9;Briareum;0
Tektite;1987;1;10;Briareum;0
Tektite;1987;1;1;Briareum;0
Tektite;1987;3;21;Briareum;0
Tektite;1987;3;22;Briareum;0
Tektite;1987;3;23;Briareum;0
Tektite;1987;3;24;Briareum;0
Tektite;1987;3;25;Briareum;0
Tektite;1987;3;26;Briareum;0
Tektite;1987;3;27;Briareum;0
Tektite;1987;3;28;Briareum;1
Tektite;1987;3;29;Briareum;0
Tektite;1987;3;30;Briareum;1
Tektite;1988;1;1;Briareum;0
Tektite;1988;1;2;Briareum;0
Tektite;1988;1;3;Briareum;0
Tektite;1988;1;4;Briareum;0
Tektite;1988;1;5;Briareum;0
Tektite;1988;1;6;Briareum;1
Tektite;1988;1;7;Briareum;0
Tektite;1988;1;8;Briareum;0
Tektite;1988;1;9;Briareum;0
Tektite;1988;3;20;Briareum;0
Tektite;1988;3;21;Briareum;0
Tektite;1988;3;22;Briareum;0
Tektite;1988;3;23;Briareum;0
Tektite;1988;3;24;Briareum;0
Tektite;1988;3;25;Briareum;0
Tektite;1988;3;26;Briareum;0
Tektite;1988;3;27;Briareum;0
Tektite;1988;3;28;Briareum;0
Tektite;1988;3;29;Briareum;1
Tektite;1989;1;31;Briareum;0
Tektite;1989;1;32;Briareum;0
Tektite;1989;1;33;Briareum;0
Tektite;1989;1;34;Briareum;0
Tektite;1989;1;35;Briareum;0
Tektite;1989;1;36;Briareum;0
Tektite;1989;1;37;Briareum;0
Tektite;1989;1;38;Briareum;0
Tektite;1989;1;39;Briareum;0
Tektite;1989;1;40;Briareum;0
Tektite;1989;3;51;Briareum;1
Tektite;1989;3;52;Briareum;0
Tektite;1989;3;53;Briareum;0
Tektite;1989;3;54;Briareum;0
Tektite;1989;3;55;Briareum;0
Tektite;1989;3;56;Briareum;0
Tektite;1989;3;57;Briareum;0
Tektite;1989;3;58;Briareum;0
Tektite;1989;3;59;Briareum;0
Tektite;1989;3;60;Briareum;0
Tektite;1990;1;1;Briareum;1
Tektite;1990;1;2;Briareum;0
Tektite;1990;1;3;Briareum;0
Tektite;1990;1;4;Briareum;0
Tektite;1990;1;5;Briareum;0
Tektite;1990;1;6;Briareum;0
Tektite;1990;1;7;Briareum;0
Tektite;1990;1;8;Briareum;0
Tektite;1990;1;9;Briareum;0
Tektite;1990;1;10;Briareum;0
Tektite;1990;3;21;Briareum;0
Tektite;1990;3;22;Briareum;0
Tektite;1990;3;23;Briareum;0
Tektite;1990;3;24;Briareum;0
Tektite;1990;3;25;Briareum;0
Tektite;1990;3;26;Briareum;0
Tektite;1990;3;27;Briareum;0
Tektite;1990;3;28;Briareum;0
Tektite;1990;3;29;Briareum;0
Tektite;1990;3;30;Briareum;0
Tektite;1991;1;1;Briareum;1
Tektite;1991;1;2;Briareum;0
Tektite;1991;1;3;Briareum;0
Tektite;1991;1;4;Briareum;0
Tektite;1991;1;5;Briareum;0
Tektite;1991;1;6;Briareum;0
Tektite;1991;1;7;Briareum;0
Tektite;1991;1;8;Briareum;0
Tektite;1991;1;9;Briareum;0
Tektite;1991;1;10;Briareum;0
Tektite;1991;3;22;Briareum;0
Tektite;1991;3;23;Briareum;0
Tektite;1991;3;24;Briareum;0
Tektite;1991;3;25;Briareum;0
Tektite;1991;3;26;Briareum;0
Tektite;1991;3;27;Briareum;0
Tektite;1991;3;28;Briareum;0
Tektite;1991;3;29;Briareum;0
Tektite;1991;3;30;Briareum;0
Tektite;1991;3;21;Briareum;1
Tektite;1992;1;2;Briareum;0
Tektite;1992;1;3;Briareum;0
Tektite;1992;1;4;Briareum;0
Tektite;1992;1;5;Briareum;0
Tektite;1992;1;6;Briareum;1
Tektite;1992;1;7;Briareum;2
Tektite;1992;1;8;Briareum;0
Tektite;1992;1;9;Briareum;0
Tektite;1992;1;10;Briareum;1
Tektite;1992;1;1;Briareum;2
Tektite;1992;3;21;Briareum;0
Tektite;1992;3;22;Briareum;0
Tektite;1992;3;23;Briareum;0
Tektite;1992;3;25;Briareum;0
Tektite;1992;3;26;Briareum;0
Tektite;1992;3;27;Briareum;0
Tektite;1992;3;28;Briareum;0
Tektite;1992;3;29;Briareum;0
Tektite;1992;3;24;Briareum;0
Tektite;1993;1;1;Briareum;0
Tektite;1993;1;2;Briareum;0
Tektite;1993;1;3;Briareum;0
Tektite;1993;1;4;Briareum;0
Tektite;1993;1;5;Briareum;0
Tektite;1993;1;6;Briareum;0
Tektite;1993;1;7;Briareum;0
Tektite;1993;1;8;Briareum;0
Tektite;1993;1;9;Briareum;0
Tektite;1993;1;10;Briareum;0
